datetime,ts,P,E,I,V,PF
2020-01-22 23:00,1579734000,228.5891418457,228.59466675023,1.4552231431007,220.81803131104,0.76619747281075
2020-01-23 00:00,1579737600,293.09341430664,293.18875192199,2.0746375322342,220.32276916504,0.6450275182724
2020-01-23 01:00,1579741200,140.23086547852,140.24036667211,0.71976298093796,220.96823883057,0.88169914484024
2020-01-23 02:00,1579744800,304.9912109375,304.9257049982,2.0890227556229,220.82972717285,0.66695186495781
2020-01-23 03:00,1579748400,243.92687988281,244.04576082533,1.63929438591,221.45891571045,0.71962183713913
2020-01-23 04:00,1579752000,191.15901947021,191.09501217288,1.1261463463306,218.90728759766,0.82729789614677
2020-01-23 05:00,1579755600,204.49202728271,204.60829464323,1.2778007984161,218.37469482422,0.79120925068855
2020-01-23 06:00,1579759200,295.90069580078,295.92402128567,2.0326855778694,219.44878387451,0.67185354232788
2020-01-23 07:00,1579762800,297.54800415039,297.50035822485,2.1082911491394,219.0719833374,0.64425256848335
2020-01-23 08:00,1579766400,297.52877807617,297.72077276761,2.0975458621979,217.8313369751,0.65115439891815
2020-01-23 09:00,1579770000,289.87812805176,289.81548567925,2.053543806076,215.17765045166,0.65604346990585
2020-01-23 10:00,1579773600,293.98510742188,294.01319905155,2.0812584161758,216.61614227295,0.65216466784477
2020-01-23 11:00,1579777200,274.02163696289,273.90887332271,1.9017084240913,215.66098022461,0.68446958065033
2020-01-23 12:00,1579780800,243.63153076172,243.63796010008,1.5874722003937,215.12704467773,0.7526747584343
2020-01-23 13:00,1579784400,299.84164428711,299.79886020243,2.0955903530121,216.66130828857,0.66033884882927
2020-01-23 14:00,1579788000,295.12796020508,295.22660283698,2.0836559534073,216.97151184082,0.65278676152229
2020-01-23 15:00,1579791600,294.48100280762,294.42030602443,2.0807664394379,215.82174682617,0.6557332277298
2020-01-23 16:00,1579795200,292.02088928223,292.0642043163,2.0557115077972,214.74934387207,0.66152015328407
2020-01-23 17:00,1579798800,294.87370300293,294.88656472933,2.0605566501617,214.08443450928,0.66844472289085
2020-01-23 18:00,1579802400,226.30815124512,226.33639724611,1.4390614032745,214.34701538086,0.77909541130066
2020-01-23 19:00,1579806000,304.92726135254,304.86576688889,2.1020973920822,215.37817382812,0.67353078722954
2020-01-23 20:00,1579809600,298.76951599121,298.78807136952,2.0941848754883,216.978515625,0.65760332345963
2020-01-23 21:00,1579813200,296.3662109375,296.29881910747,2.0670366287231,215.12342834473,0.66639736294746
2020-01-23 22:00,1579816800,296.60604858398,296.61822339118,2.0769720077515,217.75630187988,0.6558513045311
2020-01-23 23:00,1579820400,269.50620269775,269.76630671759,1.911299943924,221.36074829102,0.55738097429276
2020-01-24 00:00,1579824000,-0.73237535357475,0.0,0.0053958469070494,220.28196716309,-0.57465115189552
2020-01-24 01:00,1579827600,-1.2399756908417,0.0,0.0074817431159317,221.43050384521,-0.63130241632462
2020-01-24 02:00,1579831200,-0.50573727488518,0.0,0.0045195722486824,220.85482025146,-0.44089667499065
2020-01-24 03:00,1579834800,-0.85271126031876,0.0,0.0053538819774985,221.09339141846,-0.69258183240891
2020-01-24 04:00,1579838400,-0.97917625308037,0.0,0.0060322540812194,220.17575073242,-0.72094658017159
2020-01-24 05:00,1579842000,-1.1116385161877,0.0,0.0075267818756402,219.19180297852,-0.67852112650871
2020-01-24 06:00,1579845600,-1.41592669487,0.0,0.010519206058234,219.7409286499,-0.59468039870262
2020-01-24 07:00,1579849200,0.19263379275799,0.0,0.0083549881819636,221.38018798828,0.26869364082813
2020-01-24 08:00,1579852800,363.85920715332,363.72231335088,2.2481368780136,219.19286346436,0.71460953354836
2020-01-24 09:00,1579856400,337.61415100098,337.74677490554,2.2188721895218,218.38258361816,0.69664663076401
2020-01-24 10:00,1579860000,311.10627746582,311.08307387016,2.1544502973557,219.34039306641,0.6583414375782
2020-01-24 11:00,1579863600,301.75477600098,301.87248323072,2.1097590923309,217.62574005127,0.65724369883537
2020-01-24 12:00,1579867200,295.63023376465,295.51061925275,2.0767153501511,215.99494934082,0.65909892320633
2020-01-24 13:00,1579870800,299.32157897949,299.35373795911,2.0974303483963,216.67988586426,0.65869563817978
2020-01-24 14:00,1579874400,229.67807769775,229.56618242321,1.4503026902676,217.6521987915,0.77697414159775
2020-01-24 15:00,1579878000,301.27778625488,301.24793374533,2.0995078086853,216.75820922852,0.66188555955887
2020-01-24 16:00,1579881600,298.96520996094,299.09597538086,2.1037977933884,216.7247467041,0.65560355782509
2020-01-24 17:00,1579885200,297.75325012207,297.83343845932,2.0998902320862,216.97673034668,0.65338546037674
2020-01-24 18:00,1579888800,286.95498657227,286.91804646933,1.9955562353134,219.08032989502,0.66621327400208
2020-01-24 19:00,1579892400,303.20755004883,303.37030164449,2.1191388368607,217.06686401367,0.65908026695251
2020-01-24 20:00,1579896000,302.55754089355,302.52409004886,2.1144058704376,217.72914123535,0.65716555714607
2020-01-24 21:00,1579899600,308.02084350586,308.12166906882,2.1568068265915,220.60538482666,0.64725032448769
2020-01-24 22:00,1579903200,304.62066650391,304.53825977544,2.1391949653625,220.24946594238,0.64647805690765
2020-01-24 23:00,1579906800,74.317692279816,75.528645556187,0.54296167660505,221.38147735596,-0.12842120975256
2020-01-25 00:00,1579910400,-1.3176173567772,0.0,0.0094953686930239,220.88682556152,-0.57960629463196
2020-01-25 01:00,1579914000,-0.69182965159416,0.0,0.0048117660917342,221.25031280518,-0.61057743430138
2020-01-25 02:00,1579917600,-0.81334301829338,0.0,0.0055702936369926,221.20637512207,-0.61019647121429
2020-01-25 03:00,1579921200,-0.97519010305405,0.0,0.0056008477695286,222.59352111816,-0.74869936704636
2020-01-25 04:00,1579924800,-1.0889073014259,0.0,0.0065440954640508,222.16632843018,-0.73716589808464
2020-01-25 05:00,1579928400,-2.923544049263,0.0,0.015078098047525,220.549659729,-0.86788153648376
2020-01-25 06:00,1579932000,-1.4170321822166,0.0,0.010233614128083,220.67053985596,-0.61969211697578
2020-01-25 07:00,1579935600,-1.3641649484634,0.0,0.0098070413805544,218.7530670166,-0.62828916311264
2020-01-25 08:00,1579939200,-1.3455204367638,0.0,0.011533910408616,218.46760559082,-0.54243171215057
2020-01-25 09:00,1579942800,1.0783521234989,0.00024697574554011,0.0086897788569331,217.55895996094,0.55066232383251
2020-01-25 10:00,1579946400,335.19804382324,335.29754759552,2.1332728862762,218.70225524902,0.71537700295448
2020-01-25 11:00,1579950000,321.28764343262,321.36981247028,2.177104473114,218.96027374268,0.67355200648308
2020-01-25 12:00,1579953600,305.24449157715,305.20413023169,2.1271375417709,217.54992675781,0.65954551100731
2020-01-25 13:00,1579957200,300.92950439453,300.7488491236,2.1071548461914,216.55653381348,0.65940889716148
2020-01-25 14:00,1579960800,298.66329956055,298.75350835262,2.1057980060577,217.34557342529,0.65260970592499
2020-01-25 15:00,1579964400,299.46310424805,299.47810483119,2.1114370822906,217.88039398193,0.65086615085602
2020-01-25 16:00,1579968000,211.56113433838,211.28338624386,1.3025678992271,217.37535095215,0.79828360676765
2020-01-25 17:00,1579971600,303.76588439941,303.79031561967,2.1146157979965,216.83959197998,0.66229686141014
2020-01-25 18:00,1579975200,300.3390045166,300.32678754686,2.0973607301712,216.0167388916,0.66279524564743
2020-01-25 19:00,1579978800,302.04200744629,302.29616486974,2.1052228212357,216.3479309082,0.66314527392387
2020-01-25 20:00,1579982400,305.33192443848,305.15479124326,2.1314498186111,216.87429046631,0.66034689545631
2020-01-25 21:00,1579986000,288.73863220215,288.86486607569,2.0161100625992,218.39121246338,0.65940707921982
2020-01-25 22:00,1579989600,298.22323608398,298.36743368936,2.1139832735062,219.76566314697,0.64199575781822
2020-01-25 23:00,1579993200,296.18293762207,296.13772764674,2.1335453987122,221.93125915527,0.62553635239601
2020-01-26 00:00,1579996800,290.38529968262,290.23868963763,2.0855050086975,219.40229034424,0.63463732600212
2020-01-26 01:00,1580000400,293.18165588379,293.22317974147,2.1025298833847,220.46510314941,0.63252389431
2020-01-26 02:00,1580004000,291.88278198242,291.91585072019,2.0983786582947,219.93733215332,0.63247910141945
2020-01-26 03:00,1580007600,154.86048126221,154.97942474874,0.85363700985909,221.59871673584,0.85539397597313
2020-01-26 04:00,1580011200,307.32998657227,307.0828721103,2.1338962316513,221.90241241455,0.65179041028023
2020-01-26 05:00,1580014800,296.94459533691,297.07775057066,2.1261451244354,221.77807617188,0.62976112961769
2020-01-26 06:00,1580018400,295.75366210938,295.70162099251,2.1168550252914,221.37837982178,0.63110744953156
2020-01-26 07:00,1580022000,301.9412689209,301.98578355659,2.1397712230682,220.15243530273,0.6409467458725
2020-01-26 08:00,1580025600,307.78213500977,307.93103490648,2.1505670547485,219.90532684326,0.65083256363869
2020-01-26 09:00,1580029200,279.55931091309,279.43645038718,1.9405388236046,216.84757995605,0.6795389354229
2020-01-26 10:00,1580032800,244.22187042236,244.23932890454,1.5884085893631,216.56056213379,0.75175467133522
2020-01-26 11:00,1580036400,297.34379577637,297.18642151781,2.0831339359283,215.89851379395,0.66110864281654
