datetime,ts,P,P1,P2,P3,E,E1,E2,E3,I,I1,I2,I3,V,V1,V2,V3,PF,PF1,PF2,PF3
2020-04-28 06:00,1588024800,87.614295450846,32.450276056925,55.173397000631,-0.010098877732041,87.606941687758,32.445367378066,55.161574313475,0.0,0.16317668234309,0.21134439483285,0.27725188831488,0.00092922117910348,258.9973836263,258.46061045329,257.81370595296,260.71827697754,0.69484180708726,0.59407791395982,0.77185700833797,-0.049812439434269
2020-04-28 07:00,1588028400,535.07409032186,130.0939540863,153.42617975871,251.55280803355,535.13135479286,130.0875382614,153.42602089312,251.61779563763,1.0666540168226,0.83864067917069,0.80946475615104,1.5518790836116,257.6627784729,257.26054585775,256.72825571696,258.99865163167,0.6571621020635,0.60157013932864,0.75030491451422,0.46914859910806
2020-04-28 08:00,1588032000,663.20125528971,153.18147506714,196.4894048055,313.53414459229,663.08389597258,153.15021916467,196.4661119525,313.46756485314,1.3376574655374,0.99709858298302,1.0711081663767,1.9447761396567,253.57264149984,253.01023813883,252.63309148153,255.0763458252,0.6508893708388,0.6071996798118,0.72616120080153,0.63204116821289
2020-04-28 09:00,1588035600,662.64026590983,153.1771619161,195.76864547729,313.69283905029,662.51884876518,153.14663582432,195.7387128621,313.6335000805,1.3334795256456,0.99610553483168,1.0697810033957,1.9345463355382,253.02415237427,252.59785893758,251.81851654053,254.65533421834,0.65372265676657,0.60878400802612,0.72672007381916,0.63676180640856
2020-04-28 10:00,1588039200,657.16669616699,153.15869801839,195.76601816813,308.23966674805,657.08442473679,153.13372463296,195.72850227021,308.22219783225,1.3221969525019,0.9975577712059,1.0708858966827,1.8981646160285,252.70847422282,251.96286519368,251.53856989543,254.6258837382,0.65451392432054,0.60937100748221,0.72674392461777,0.63771251241366
2020-04-28 11:00,1588042800,644.23886617025,153.07023671468,194.67445500692,296.4989344279,644.12884585978,153.04266359977,194.64000834682,296.44617391314,1.301130113999,0.99796831607819,1.0711271901925,1.8342639704545,251.70825932821,251.1090868632,250.45278523763,253.56543477376,0.65474028984706,0.61083167592684,0.72566835482915,0.63749917447567
2020-04-28 12:00,1588046400,645.09444173177,153.03043823242,195.48164596558,296.58683522542,645.35350085469,153.08855807959,195.56090534167,296.70403743704,1.3019528746605,0.99794384439786,1.0702789445718,1.8376057942708,252.50830713908,251.59214248657,251.62564468384,254.31263478597,0.65312509338061,0.60950324634711,0.72585872213046,0.63465928534667
2020-04-28 13:00,1588050000,644.81322428385,152.83927688599,195.53352177938,296.44262034098,644.70384396007,152.8106873816,195.49426220977,296.39889437042,1.3024378816287,0.99701789617538,1.0709240714709,1.8393493274848,252.51581217448,251.55799179077,251.79994913737,254.19403025309,0.65263865788778,0.60937885244687,0.72510014971097,0.63405306438605
2020-04-28 14:00,1588053600,644.20123697917,152.80152257284,195.06051915487,296.340284729,644.27274508798,152.80788594819,195.07787469917,296.38698444172,1.3051977177461,1.0001563459635,1.0719430526098,1.8434860765934,251.81232859294,250.55974197388,251.29085820516,253.58969701131,0.65239423116048,0.60971414148808,0.72411952714125,0.63394030332565
2020-04-28 15:00,1588057200,642.91298421224,152.68558502197,194.12608566284,296.10419718424,643.16375703516,152.74679590616,194.19976997084,296.21719115647,1.3074696421623,1.0020384480556,1.0741754790147,1.846213688453,251.18324839274,250.21149190267,250.30905278524,253.02962112427,0.6515604664882,0.60900662640731,0.72198554376761,0.63385309179624
